"family","extensions","priority","required_capabilities","boundary","provider","provider_version","fixture_ids","status","evidence","media_sample_status"
"JPEG","jpg;jpeg;jpe","P1_MUST","probe;thumbnail;fit;full","EXIF八方向、ICC、CMYK真实夹具","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"PNG","png","P1_MUST","probe;thumbnail;fit;full","8/16位、alpha；动画内容分到APNG","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"GIF","gif","P1_MUST","probe;thumbnail;fit;full;animation","静态和动画disposal/loop","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/tests/consolidation-staged-animation.trx;implementation/P1_GAPS.md","NOT_RUN"
"WebP","webp","P1_MUST","probe;thumbnail;fit;full;animation","静态及动画blend/disposal","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/tests/consolidation-staged-animation.trx;implementation/P1_GAPS.md","NOT_RUN"
"APNG","apng;png","P1_MUST","probe;thumbnail;fit;full;animation","按实际内容识别，不只扩展名","libvips probe / FFmpeg animation","8.18.6 / 8.0.1","","NOT_RUN","artifacts/tests/consolidation-staged-animation.trx;implementation/P1_GAPS.md","NOT_RUN"
"BMP","bmp","P1_MUST","probe;thumbnail;fit;full","常用非压缩/调色板变体","Magick.NET","14.17.1","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"TIFF","tif;tiff","P1_MUST","probe;thumbnail;fit;full;pages","8/16位、常用压缩、多页与动画分开","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"ICO","ico","P1_MUST","probe;thumbnail;fit;full","优选最大合适图标帧；不宣称全光标格式","Magick.NET","14.17.1","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"HEIC/HEIF","heic;heif","P1_MUST","probe;thumbnail;fit;full","常见单张SDR；不依赖商店安装","Magick.NET","14.17.1","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"AVIF","avif","P1_MUST","probe;thumbnail;fit;full","一期强制静态SDR，不承诺动画/HDR","NetVips / libvips","3.2.0 / 8.18.6","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"JPEG XL","jxl","P1_MUST","probe;thumbnail;fit;full","一期强制静态SDR；实际发行codec","Magick.NET","14.17.1","","NOT_RUN","artifacts/m0/formats/formats-static-result.json;implementation/P1_GAPS.md","NOT_RUN"
"Sony ARW","arw","P1_MUST","probe;thumbnail;fit;rawDevelop;full","强制Sony A7R IV A真实样本","LibRaw / RawBridge","0.22.2 / ABI 1","sony-a7r4a-14bit","NOT_RUN","artifacts/m0/raw/raw-result.json;artifacts/m0/properties/sony-a7r4a-details.json;implementation/P1_GAPS.md","NOT_RUN"
"DNG","dng","P1_MUST","probe;thumbnail;fit;rawDevelop;full","每家实际样本；不承诺所有相机","LibRaw / RawBridge","0.22.2 / ABI 1","rawpixls-830","NOT_RUN","artifacts/m0/raw-family/complete-paths/rawpixls-830.json;implementation/RAW_FAMILY_EVIDENCE.md","PASS"
"Canon CR2","cr2","P1_MUST","probe;thumbnail;fit;rawDevelop;full","记录相机/压缩变体","LibRaw / RawBridge","0.22.2 / ABI 1","rawpixls-1294","NOT_RUN","artifacts/m0/raw-family/complete-paths/rawpixls-1294.json;implementation/RAW_FAMILY_EVIDENCE.md","PASS"
"Canon CR3","cr3","P1_MUST","probe;thumbnail;fit;rawDevelop;full","记录相机/压缩变体","LibRaw / RawBridge","0.22.2 / ABI 1","rawpixls-4672","NOT_RUN","artifacts/m0/raw-family/complete-paths/rawpixls-4672.json;implementation/RAW_FAMILY_EVIDENCE.md","PASS"
"Nikon NEF","nef","P1_MUST","probe;thumbnail;fit;rawDevelop;full","记录相机/压缩变体","LibRaw / RawBridge","0.22.2 / ABI 1","rawpixls-898","NOT_RUN","artifacts/m0/raw-family/complete-paths/rawpixls-898.json;implementation/RAW_FAMILY_EVIDENCE.md","PASS"
