"acceptance_id","req_id","kind","test_layer","precondition","steps","expected","blocking","status","evidence_path"
"A001a","R001","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","检查现有环境和适用AGENTS；建立环境报告","Windows x64原生路线、缺项和权限清晰；不反复重装","YES","NOT_RUN",""
"A001b","R001","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","在Linux或无WinUI构建链环境执行检查","标BLOCKED并继续可执行任务，不伪称WinUI已编译","YES","NOT_RUN",""
"A002a","R002","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","Release构建窗口并显示实际JPEG和Win2D画布","managed/native实际加载；保存构建命令和日志","YES","NOT_RUN",""
"A002b","R002","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","从PATH移除开发机工具；缺一个native组件启动","可诊断缺组件，不依赖当前目录随机DLL","YES","NOT_RUN",""
"A003a","R003","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","选择三层混合目录并持续观察首次结果","保留源结构；边扫描边显示；UI可交互","YES","NOT_RUN",""
"A003b","R003","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","扫描十万文件中途取消并换根","有界缓存；旧scan不写新根；取消后状态准确","YES","NOT_RUN",""
"A004a","R004","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","同一文件改名再打开；同路径替换内容","pathRevision与fileVersion正确推进，缓存不串图","YES","NOT_RUN",""
"A004b","R004","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","同长度同mtime改内容并强制刷新","旧结果失效；不只依赖长度mtime作为永恒身份","YES","NOT_RUN",""
"A005a","R005","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","枚举夹具并核对入库条目及批次","批量事务；每目录记录完成，计数一致","YES","NOT_RUN","implementation/REAL_LIBRARY_EVIDENCE.md (partial; full acceptance unchanged)"
"A005b","R005","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","目录枚举中途权限失败但旧索引有更多文件","不删除未见旧项，不显示全根完成","YES","NOT_RUN",""
"A006a","R006","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","连续创建删除改名并恢复休眠","结果与实际文件一致，统计不按事件次数重复累加","YES","NOT_RUN",""
