"req_id","priority","module","requirement","milestone","owner_task","acceptance_ids","status","implementation_evidence"
"R001","P1_MUST","基础","原生平台与环境基线","M0","T001","A001a;A001b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R002","P1_MUST","基础","原生依赖完整组合","M0","T002","A002a;A002b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R003","P1_MUST","目录","递归展平与增量扫描","M1","T007","A003a;A003b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R004","P1_MUST","索引","文件身份和内容代次","M1","T007","A004a;A004b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R005","P1_MUST","索引","批量入库和目录完整性","M1","T007","A005a;A005b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R006","P1_MUST","目录","监听溢出与重启核对","M1","T008","A006a;A006b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R007","P1_MUST","目录","UNC离线和可取消I/O","M1","T009","A007a;A007b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R008","P1_MUST","筛选","隐藏与扫描排除双语义","M2","T011","A008a;A008b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R009","P1_MUST","目录","路径边界链接云占位","M1","T009","A009a;A009b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R010","P1_MUST","界面","网格详情和双层虚拟化","M2","T013","A010a;A010b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R011","P1_MUST","筛选","格式类型RAW筛选","M2","T011","A011a;A011b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R012","P1_MUST","筛选","尺寸体积比例筛选","M2","T011","A012a;A012b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R013","P1_MUST","筛选","未知失败不适用四值语义","M2","T011","A013a;A013b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R014","P1_MUST","筛选","名称路径日期时长条件","M2","T011","A014a;A014b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R015","P1_MUST","筛选","稳定自然排序与NULL","M2","T011","A015a;A015b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R016","P1_MUST","索引","固定浏览结果会话","M2","T012","A016a;A016b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
